item_id,title,image_url,description,genre
0,Movie 00,https://picsum.photos/seed/item0/200/300,A action recommendation candidate used in the demo catalog.,Action
1,Movie 01,https://picsum.photos/seed/item1/200/300,A drama recommendation candidate used in the demo catalog.,Drama
2,Movie 02,https://picsum.photos/seed/item2/200/300,A sci-fi recommendation candidate used in the demo catalog.,Sci-Fi
3,Movie 03,https://picsum.photos/seed/item3/200/300,A comedy recommendation candidate used in the demo catalog.,Comedy
4,Movie 04,https://picsum.photos/seed/item4/200/300,A documentary recommendation candidate used in the demo catalog.,Documentary
5,Movie 05,https://picsum.photos/seed/item5/200/300,A action recommendation candidate used in the demo catalog.,Action
6,Movie 06,https://picsum.photos/seed/item6/200/300,A drama recommendation candidate used in the demo catalog.,Drama
7,Movie 07,https://picsum.photos/seed/item7/200/300,A sci-fi recommendation candidate used in the demo catalog.,Sci-Fi
8,Movie 08,https://picsum.photos/seed/item8/200/300,A comedy recommendation candidate used in the demo catalog.,Comedy
9,Movie 09,https://picsum.photos/seed/item9/200/300,A documentary recommendation candidate used in the demo catalog.,Documentary
10,Movie 10,https://picsum.photos/seed/item10/200/300,A action recommendation candidate used in the demo catalog.,Action
11,Movie 11,https://picsum.photos/seed/item11/200/300,A drama recommendation candidate used in the demo catalog.,Drama
12,Movie 12,https://picsum.photos/seed/item12/200/300,A sci-fi recommendation candidate used in the demo catalog.,Sci-Fi
13,Movie 13,https://picsum.photos/seed/item13/200/300,A comedy recommendation candidate used in the demo catalog.,Comedy
14,Movie 14,https://picsum.photos/seed/item14/200/300,A documentary recommendation candidate used in the demo catalog.,Documentary
15,Movie 15,https://picsum.photos/seed/item15/200/300,A action recommendation candidate used in the demo catalog.,Action
16,Movie 16,https://picsum.photos/seed/item16/200/300,A drama recommendation candidate used in the demo catalog.,Drama
17,Movie 17,https://picsum.photos/seed/item17/200/300,A sci-fi recommendation candidate used in the demo catalog.,Sci-Fi
18,Movie 18,https://picsum.photos/seed/item18/200/300,A comedy recommendation candidate used in the demo catalog.,Comedy
19,Movie 19,https://picsum.photos/seed/item19/200/300,A documentary recommendation candidate used in the demo catalog.,Documentary
20,Movie 20,https://picsum.photos/seed/item20/200/300,A action recommendation candidate used in the demo catalog.,Action
21,Movie 21,https://picsum.photos/seed/item21/200/300,A drama recommendation candidate used in the demo catalog.,Drama
22,Movie 22,https://picsum.photos/seed/item22/200/300,A sci-fi recommendation candidate used in the demo catalog.,Sci-Fi
23,Movie 23,https://picsum.photos/seed/item23/200/300,A comedy recommendation candidate used in the demo catalog.,Comedy
24,Movie 24,https://picsum.photos/seed/item24/200/300,A documentary recommendation candidate used in the demo catalog.,Documentary
25,Movie 25,https://picsum.photos/seed/item25/200/300,A action recommendation candidate used in the demo catalog.,Action
26,Movie 26,https://picsum.photos/seed/item26/200/300,A drama recommendation candidate used in the demo catalog.,Drama
27,Movie 27,https://picsum.photos/seed/item27/200/300,A sci-fi recommendation candidate used in the demo catalog.,Sci-Fi
28,Movie 28,https://picsum.photos/seed/item28/200/300,A comedy recommendation candidate used in the demo catalog.,Comedy
29,Movie 29,https://picsum.photos/seed/item29/200/300,A documentary recommendation candidate used in the demo catalog.,Documentary
